device_id,country,first_game_ver,game_ver_num,network_name,demographic,play_time,days_since_release
00A972F408D8EAFD202CF9B838F,GB,0.11.0,110,network D,F 18-24,12.31543747,6
00A9A29508D8EA4BBE0640C0B93,GB,0.11.0,110,network A,unknown,22.94929193,7
00A9D23808D8D53FCC6664EA91A,JP,0.11.0,110,network A,F 18-24,34.88079701,7
00A9D23808D8D53FCC6664EA91A,JP,0.11.0,110,network A,F 18-24,34.88079701,6
00A9D23808D8D53FCC6664EA91A,JP,0.11.0,110,network A,F 18-24,34.88079701,5
00A9D23808D8D53FCC6664EA91A,JP,0.11.0,110,network A,F 18-24,34.88079701,4
0762557708D8EF5F6B5E4020756,JP,0.11.0,110,network A,unknown,110.6797181,7
0762557708D8EF5F6B5E4020756,JP,0.11.0,110,network A,unknown,96.52289884,6
0762655508D8EEF88228A456E43,JP,0.11.0,110,network C,F 25-34,88.24211013,7
0762655508D8EEF88228A456E43,JP,0.11.0,110,network C,F 25-34,71.16881339,6
0762655508D8EEF88228A456E43,JP,0.11.0,110,network C,F 25-34,58.43800133,5
076265CF08D8EF05B3FCF3DAEDC,JP,0.11.0,110,network A,unknown,29.3257566,7
076265CF08D8EF05B3FCF3DAEDC,JP,0.11.0,110,network A,unknown,29.3257566,6
076265CF08D8EF05B3FCF3DAEDC,JP,0.11.0,110,network A,unknown,29.3257566,5
076275F008D8EEDB9365205E5FE,JP,0.11.0,110,network A,unknown,77.81388051,7
076275F008D8EEDB9365205E5FE,JP,0.11.0,110,network A,unknown,77.81388051,6
076275F008D8EEDB9365205E5FE,JP,0.11.0,110,network A,unknown,58.79345202,5
07628B7908D8F0A6AD9481AA70A,JP,0.11.0,110,network D,F 18-24,30.49590136,7
076290C808D8EEE266912774D19,JP,0.11.0,110,network A,unknown,95.15776374,7
076290C808D8EEE266912774D19,JP,0.11.0,110,network A,unknown,95.15776374,6
076290C808D8EEE266912774D19,JP,0.11.0,110,network A,unknown,84.66599081,5
0762CE2A08D8EED037432BB4FDB,JP,0.11.0,110,network A,unknown,67.15653356,7
0762CE2A08D8EED037432BB4FDB,JP,0.11.0,110,network A,unknown,67.15653356,6
0762CE2A08D8EED037432BB4FDB,JP,0.11.0,110,network A,unknown,67.03230564,5
0762D52C08D8EF9F475EBE441A7,JP,0.11.0,110,network D,F 18-24,8.850423719,7
0762D52C08D8EF9F475EBE441A7,JP,0.11.0,110,network D,F 18-24,8.850423719,6
0762E98A08D8EE75B2694F40F88,JP,0.11.0,110,network C,F 25-34,99.37303457,7
0762E98A08D8EE75B2694F40F88,JP,0.11.0,110,network C,F 25-34,94.54274166,6
0762E98A08D8EE75B2694F40F88,JP,0.11.0,110,network C,F 25-34,92.17738334,5
0762F7C508D8F05038FA843A8EB,JP,0.11.0,110,network A,unknown,54.98481609,7
076300A708D8EEDF6A7719F040A,JP,0.11.0,110,network A,unknown,12.7800626,7
076300A708D8EEDF6A7719F040A,JP,0.11.0,110,network A,unknown,12.7800626,6
076300A708D8EEDF6A7719F040A,JP,0.11.0,110,network A,unknown,12.7800626,5
0763012308D8EF86B24BCA12AA6,JP,0.11.0,110,network A,unknown,32.65991427,7
0763012308D8EF86B24BCA12AA6,JP,0.11.0,110,network A,unknown,32.65991427,6
0763014808D8EEFB1AAD4900BF3,JP,0.11.0,110,network A,unknown,26.86391632,7
0763014808D8EEFB1AAD4900BF3,JP,0.11.0,110,network A,unknown,26.86391632,6
0763014808D8EEFB1AAD4900BF3,JP,0.11.0,110,network A,unknown,26.86391632,5
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,7
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,6
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,5
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,4
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,3
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,2
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,1
0763024F08D8EAF7CAA0E73E4A4,JP,0.11.0,110,network C,F 25-34,23.76972865,0
0763026408D8EF9DA5EEBBC8B03,JP,0.11.0,110,network A,unknown,85.88754275,7
0763026408D8EF9DA5EEBBC8B03,JP,0.11.0,110,network A,unknown,85.88754275,6
076302B608D8EFE22CD60AF808F,JP,0.11.0,110,network A,unknown,71.99534707,7
076302B608D8EFE22CD60AF808F,JP,0.11.0,110,network A,unknown,46.86864624,6
076303A708D8EF7FB8CFDB3C12C,HK,0.11.0,110,network C,F 25-34,84.57736104,7
076303A708D8EF7FB8CFDB3C12C,HK,0.11.0,110,network C,F 25-34,84.57736104,6
0763042108D8ED8062AD9A9233D,HK,0.11.0,110,network A,unknown,19.66392636,7
